pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
203.04,-74.64,0.0,top,,,,,tht,True
203.04,-77.18,0.0,top,,,,,tht,True
203.88,-92.04,0.0,top,,,,,tht,True
203.88,-93.08,0.0,top,,,,,tht,True
117.525,-113.76,0.0,top,,,,,tht,True
197.34,-104.7,0.0,top,,,,,tht,True
158.47,-133.1,0.0,top,,,,,tht,True
140.385,-113.76,0.0,top,,,,,tht,True
142.925,-113.76,0.0,top,,,,,tht,True
198.34,-117.78,0.0,top,,,,,tht,True
158.47,-135.64,0.0,top,,,,,tht,True
135.305,-113.76,0.0,top,,,,,tht,True
137.845,-113.76,0.0,top,,,,,tht,True
134.31,-101.0,180.0,top,C1,,C_Disc_D3.0mm_W1.6mm_P2.50mm,22pF,tht,True
131.81,-98.9,0.0,top,C2,,C_Disc_D3.0mm_W1.6mm_P2.50mm,22pF,tht,True
191.66,-122.94,90.0,top,CU_BUTTONS1,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
172.66,-120.4,-90.0,top,C_DRAIN0,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
129.62,-115.09,0.0,top,C_MCU1,,CP_Radial_D4.0mm_P2.00mm,10μF,tht,True
183.41,-115.41,180.0,top,C_TERM_GND0,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
129.73,-125.49,0.0,top,C_TERM_GND1,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
178.41,-112.41,0.0,top,C_TERM_VCC0,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
134.73,-128.49,180.0,top,C_TERM_VCC1,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
142.31,-117.37,0.0,top,C_TRANS1,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht,True
114.18,-84.03,90.0,top,D0,,LED_D3.0mm,LED,tht,True
123.18,-84.03,90.0,top,D1,,LED_D3.0mm,LED,tht,True
132.18,-84.03,90.0,top,D2,,LED_D3.0mm,LED,tht,True
